:TYPE,:START_ID,:END_ID,kegg_species_id:string,interaction_type:string,kegg:string,kegg_int_type:string
KEGG_INCREASES_EXPRESSION,40940,2731,hsa,expression,#2416:2858,GErel
KEGG_INCREASES_EXPRESSION,33474,5670,hsa,expression,#2416:2761,GErel
KEGG_INCREASES_EXPRESSION,35166,13675,hsa,expression,#2416:2533,GErel
KEGG_INCREASES_EXPRESSION,35166,2890,hsa,expression,#2417:1716,GErel
KEGG_INCREASES_EXPRESSION,40940,13742,hsa,expression,#2417:2855,GErel
KEGG_INCREASES_EXPRESSION,40821,14147,hsa,expression,#2417:2759,GErel
KEGG_INCREASES_EXPRESSION,16821,10169,hsa,expression,#2417:2534,GErel
KEGG_INCREASES_EXPRESSION,33561,5531,hsa,expression,#2417:3047,GErel
KEGG_INCREASES_EXPRESSION,32745,18036,hsa,expression,#2418:1661,GErel
KEGG_INCREASES_EXPRESSION,33474,18374,hsa,expression,#2418:2750,GErel
KEGG_INCREASES_EXPRESSION,16821,2863,hsa,expression,#2418:2528,GErel
KEGG_INCREASES_EXPRESSION,35957,14106,hsa,expression,#2418:3021,GErel
KEGG_INCREASES_EXPRESSION,40940,5831,hsa,expression,#2418:2853,GErel
KEGG_INCREASES_EXPRESSION,36204,20457,hsa,expression,#2419:1635,GErel
KEGG_INCREASES_EXPRESSION,25604,20649,hsa,expression,#2419:2526,GErel
KEGG_INCREASES_EXPRESSION,16821,2890,hsa,expression,#2419:2920,GErel
KEGG_INCREASES_EXPRESSION,43929,18274,hsa,expression,#2419:2850,GErel
KEGG_INCREASES_EXPRESSION,38476,2971,hsa,expression,#2419:2734,GErel
KEGG_INCREASES_EXPRESSION,25376,2792,hsa,expression,#2420:1246,GErel
KEGG_INCREASES_EXPRESSION,11330,18313,hsa,expression,#2420:2439,GErel
KEGG_INCREASES_EXPRESSION,16821,20234,hsa,expression,#2420:3140,GErel
KEGG_INCREASES_EXPRESSION,40821,5672,hsa,expression,#2420:2877,GErel
KEGG_INCREASES_EXPRESSION,40940,20573,hsa,expression,#2420:2839,GErel
KEGG_INCREASES_EXPRESSION,40821,14147,hsa,expression,#2420:2710,GErel
KEGG_INCREASES_EXPRESSION,44396,10190,hsa,expression,#2421:1859,GErel
KEGG_INCREASES_EXPRESSION,25376,10309,hsa,expression;missing interaction,#2421:3099,GErel
KEGG_INCREASES_EXPRESSION,40940,10001,hsa,expression,#2421:2871,GErel
KEGG_INCREASES_EXPRESSION,40653,3042,hsa,expression,#2421:2807,GErel
KEGG_INCREASES_EXPRESSION,35166,14039,hsa,expression,#2421:2670,GErel
KEGG_INCREASES_EXPRESSION,35166,20349,hsa,expression,#2422:1716,GErel
KEGG_INCREASES_EXPRESSION,3643,2816,hsa,expression,#2422:3070,GErel
KEGG_INCREASES_EXPRESSION,40940,20607,hsa,expression,#2422:2860,GErel
KEGG_INCREASES_EXPRESSION,35166,18558,hsa,expression,#2422:2770,GErel
KEGG_INCREASES_EXPRESSION,39722,18371,hsa,expression,#2422:2554,GErel
KEGG_INCREASES_EXPRESSION,36204,20206,hsa,expression,#2423:1367,GErel
KEGG_INCREASES_EXPRESSION,43527,18032,hsa,expression,#2423:3044,GErel
KEGG_INCREASES_EXPRESSION,40940,18138,hsa,expression,#2423:2855,GErel
KEGG_INCREASES_EXPRESSION,41673,5860,hsa,expression,#2423:2743,GErel
KEGG_INCREASES_EXPRESSION,43509,5850,hsa,expression,#2423:2495,GErel
KEGG_INCREASES_EXPRESSION,36945,23501,hsa,expression,#2424:1342,GErel
