:TYPE,:START_ID,:END_ID,kegg_species_id:string,interaction_type:string,kegg:string,kegg_int_type:string
KEGG_DECREASES_EXPRESSION,21118,5489,rno,repression,#2426:11559,GErel
KEGG_DECREASES_EXPRESSION,42039,23577,rno,repression,#2435:9756,GErel
KEGG_DECREASES_EXPRESSION,30628,18303,hsa,repression,#2414:1447,GErel
KEGG_DECREASES_EXPRESSION,38827,18096,hsa,repression;indirect effect,#2421:1483,GErel
KEGG_DECREASES_EXPRESSION,3456,3220,hsa,repression,#2433:3068,GErel
KEGG_DECREASES_EXPRESSION,7715,2832,mmu,repression,#2414:5546,GErel
KEGG_DECREASES_EXPRESSION,25160,14131,mmu,repression,#2422:7153,GErel
KEGG_DECREASES_EXPRESSION,34881,18428,mmu,repression,#2430:7175,GErel
KEGG_DECREASES_EXPRESSION,16833,20305,rno,repression,#2412:9720,GErel
KEGG_DECREASES_EXPRESSION,44325,18217,rno,repression;indirect effect,#2426:11723,GErel
KEGG_DECREASES_EXPRESSION,40303,20333,rno,repression,#2435:9786,GErel
KEGG_DECREASES_EXPRESSION,11243,20737,hsa,repression,#2414:1483,GErel
KEGG_DECREASES_EXPRESSION,30785,2952,hsa,repression,#2421:1484,GErel
KEGG_DECREASES_EXPRESSION,33561,5616,hsa,repression,#2434:1447,GErel
KEGG_DECREASES_EXPRESSION,43830,18048,mmu,repression,#2414:6212,GErel
KEGG_DECREASES_EXPRESSION,34881,18377,mmu,repression,#2422:7175,GErel
KEGG_DECREASES_EXPRESSION,3399,23546,mmu,repression,#2430:7717,GErel
KEGG_DECREASES_EXPRESSION,16658,18463,rno,repression,#2413:9720,GErel
KEGG_DECREASES_EXPRESSION,16833,10215,rno,repression,#2427:9719,GErel
KEGG_DECREASES_EXPRESSION,40717,10236,rno,repression,#2435:11633,GErel
KEGG_DECREASES_EXPRESSION,36946,14015,hsa,repression;indirect effect,#2414:1484,GErel
KEGG_DECREASES_EXPRESSION,41080,18332,hsa,repression,#2421:1660,GErel
KEGG_DECREASES_EXPRESSION,16835,2838,hsa,repression,#2434:2552,GErel
KEGG_DECREASES_EXPRESSION,40027,14131,mmu,repression,#2414:7219,GErel
KEGG_DECREASES_EXPRESSION,7715,18153,mmu,repression,#2423:5546,GErel
KEGG_DECREASES_EXPRESSION,25588,2819,mmu,repression,#2431:5546,GErel
KEGG_DECREASES_EXPRESSION,25576,18463,rno,repression,#2414:9720,GErel
KEGG_DECREASES_EXPRESSION,21118,18049,rno,repression,#2427:11559,GErel
KEGG_DECREASES_EXPRESSION,36713,13707,rno,repression,#2436:9503,GErel
KEGG_DECREASES_EXPRESSION,39655,14050,hsa,repression,#2414:1485,GErel
KEGG_DECREASES_EXPRESSION,38827,14015,hsa,repression;indirect effect,#2422:1483,GErel
KEGG_DECREASES_EXPRESSION,35639,3220,hsa,repression,#2434:3068,GErel
KEGG_DECREASES_EXPRESSION,25588,18528,mmu,repression,#2415:5546,GErel
