:ID,:LABEL,bel:string,involved_genes:string,involved_other:string,species:float
26692,Composite,"composite(p(HGNC:""GABRA1""),p(HGNC:""GABRA2""),p(HGNC:""GABRA3""),p(HGNC:""GABRA4""),p(HGNC:""GABRA5""),p(HGNC:""GABRA6""),p(HGNC:""GABRB1""),p(HGNC:""GABRB2""),p(HGNC:""GABRB3""),p(HGNC:""GABRD""),p(HGNC:""GABRE""),p(HGNC:""GABRG1""),p(HGNC:""GABRG2""),p(HGNC:""GABRG3""),p(HGNC:""GABRP""),p(HGNC:""GABRQ""),p(HGNC:""GABRR1""),p(HGNC:""GABRR2""),p(HGNC:""GABRR3""))",GABRA2;GABRB3;GABRQ;GABRA1;GABRB2;GABRP;GABRB1;GABRA6;GABRA5;GABRA4;GABRA3;GABRG3;GABRG2;GABRG1;GABRR3;GABRR2;GABRR1;GABRE;GABRD,,9606.0
26693,Composite,"composite(p(MGI:""Notch1""),p(MGI:""Notch2""),p(MGI:""Notch3""),p(MGI:""Notch4""))",Notch4;Notch1;Notch2;Notch3,,10090.0
26694,Composite,"composite(p(FLYBASE:""Acsl""),p(FLYBASE:""CG3961""),p(FLYBASE:""bgm""),p(FLYBASE:""hll""))",CG3961;Acsl;bgm;hll,,7227.0
26695,Composite,"composite(p(MGI:""Stam""),p(MGI:""Stam2""))",Stam2;Stam,,10090.0
26696,Composite,"composite(p(RGD:""Npr1""),p(RGD:""Npr2""))",Npr1;Npr2,,10116.0
26697,Composite,"composite(p(MGI:""Pcca""),p(MGI:""Pccb""))",Pcca;Pccb,,10090.0
26698,Composite,"composite(p(RGD:""Foxo1""),p(RGD:""Foxo3""))",Foxo3;Foxo1,,10116.0
26699,Composite,"composite(p(RGD:""Rbl1""),p(RGD:""Rbl2""))",Rbl2;Rbl1,,10116.0
26700,Composite,"composite(p(RGD:""Gnai1""),p(RGD:""Gnai2""),p(RGD:""Gnai3""))",Gnai2;Gnai1;Gnai3,,10116.0
26701,Composite,"composite(p(MGI:""Comp""),p(MGI:""Thbs1""),p(MGI:""Thbs2""),p(MGI:""Thbs3""),p(MGI:""Thbs4""))",Thbs1;Thbs2;Thbs3;Comp;Thbs4,,10090.0
26702,Composite,"composite(p(HGNC:""NCK1""),p(HGNC:""NCK2""))",NCK2;NCK1,,9606.0
26703,Composite,"composite(p(MGI:""Lypla2""),p(MGI:""Plb1""),p(MGI:""Pnpla6""),p(MGI:""Pnpla7""))",Pnpla7;Lypla2;Pnpla6;Plb1,,10090.0
26704,Composite,"composite(p(MGI:""Tab1""),p(MGI:""Tab2""),p(MGI:""Tab3""))",Tab3;Tab2;Tab1,,10090.0
26705,Composite,"composite(p(FLYBASE:""CG18278""),p(FLYBASE:""CG30059""))",CG30059;CG18278,,7227.0
26706,Composite,"composite(p(RGD:""Rab7a""),p(RGD:""Rab7b""))",Rab7a;Rab7b,,10116.0
26707,Composite,"composite(p(FLYBASE:""Ahcy""),p(FLYBASE:""AhcyL1""),p(FLYBASE:""AhcyL2""))",AhcyL2;AhcyL1;Ahcy,,7227.0
26708,Composite,"composite(p(MGI:""Prkaa1""),p(MGI:""Prkaa2""),p(MGI:""Prkab1""),p(MGI:""Prkab2""),p(MGI:""Prkag1""),p(MGI:""Prkag2""),p(MGI:""Prkag3""))",Prkaa1;Prkab2;Prkaa2;Prkag3;Prkab1;Prkag1;Prkag2,,10090.0
26709,Composite,"composite(p(RGD:""Lmna""),p(RGD:""Lmnb1""),p(RGD:""Lmnb2""))",Lmna;Lmnb1;Lmnb2,,10116.0
26710,Composite,"composite(p(HGNC:""CLCA1""),p(HGNC:""CLCA2""),p(HGNC:""CLCA4""))",CLCA2;CLCA1;CLCA4,,9606.0
26711,Composite,"composite(p(RGD:""Ctsb""),p(RGD:""Ctsl""),p(RGD:""Ctss""))",Ctsb;Ctss;Ctsl,,10116.0
26712,Composite,"composite(p(HGNC:""ASAH1""),p(HGNC:""ASAH2""))",ASAH1;ASAH2,,9606.0
26713,Composite,"composite(p(HGNC:""AKR1C3""),p(HGNC:""HSD17B2""))",HSD17B2;AKR1C3,,9606.0
26714,Composite,"composite(p(RGD:""LOC103694910""),p(RGD:""Pigm""))",LOC103694910;Pigm,,10116.0
26715,Composite,"composite(p(MGI:""Cd8a""),p(MGI:""Cd8b1""))",Cd8a;Cd8b1,,10090.0
26716,Composite,"composite(p(HGNC:""FGR""),p(HGNC:""HCK""),p(HGNC:""LYN""),p(HGNC:""SRC""))",FGR;LYN;HCK;SRC,,9606.0
26717,Composite,"composite(p(MGI:""Atp2b1""),p(MGI:""Atp2b2""),p(MGI:""Atp2b3""),p(MGI:""Atp2b4""))",Atp2b2;Atp2b1;Atp2b4;Atp2b3,,10090.0
26718,Composite,"composite(p(HGNC:""PCK1""),p(HGNC:""PCK2""))",PCK1;PCK2,,9606.0
26719,Composite,"composite(p(MGI:""S1pr1""),p(MGI:""S1pr4""))",S1pr1;S1pr4,,10090.0
26720,Composite,"composite(p(HGNC:""ACKR4""),p(HGNC:""CCR9""))",ACKR4;CCR9,,9606.0
26721,Composite,"composite(p(RGD:""F2r""),p(RGD:""F2rl1""),p(RGD:""F2rl2""),p(RGD:""F2rl3""),p(RGD:""Pard3""))",Pard3;F2r;F2rl1;F2rl2;F2rl3,,10116.0
26722,Composite,"composite(p(FLYBASE:""GluProRS""),p(FLYBASE:""GluRS-m""))",GluProRS;GluRS-m,,7227.0
26723,Composite,"composite(p(MGI:""Sfrp1""),p(MGI:""Sfrp2""),p(MGI:""Sfrp4""),p(MGI:""Sfrp5""))",Sfrp2;Sfrp1;Sfrp4;Sfrp5,,10090.0
26724,Composite,"composite(p(HGNC:""NFKB1""),p(HGNC:""NFKB2""),p(HGNC:""RELA""))",NFKB1;RELA;NFKB2,,9606.0
26725,Composite,"composite(p(RGD:""Vipr1""),p(RGD:""Vipr2""))",Vipr2;Vipr1,,10116.0
26726,Composite,"composite(p(HGNC:""HMOX1""),p(HGNC:""HMOX2""))",HMOX1;HMOX2,,9606.0
26727,Composite,"composite(p(RGD:""Mknk1""),p(RGD:""Mknk2""))",Mknk2;Mknk1,,10116.0
26728,Composite,"composite(p(HGNC:""FDPS""),p(HGNC:""GGPS1""))",FDPS;GGPS1,,9606.0
26729,Composite,"composite(p(RGD:""Galnt1""),p(RGD:""Galnt10""),p(RGD:""Galnt11""),p(RGD:""Galnt12""),p(RGD:""Galnt13""),p(RGD:""Galnt14""),p(RGD:""Galnt15""),p(RGD:""Galnt16""),p(RGD:""Galnt17""),p(RGD:""Galnt18""),p(RGD:""Galnt2""),p(RGD:""Galnt3""),p(RGD:""Galnt4""),p(RGD:""Galnt5""),p(RGD:""Galnt6""),p(RGD:""Galnt7""),p(RGD:""Galntl5""),p(RGD:""Galntl6""))",Galntl6;Galntl5;Galnt1;Galnt3;Galnt2;Galnt5;Galnt4;Galnt7;Galnt6;Galnt10;Galnt17;Galnt18;Galnt15;Galnt16;Galnt13;Galnt14;Galnt11;Galnt12,,10116.0
26730,Composite,"composite(p(RGD:""Plcb1""),p(RGD:""Plcb2""),p(RGD:""Plcb3""),p(RGD:""Plcb4""),p(RGD:""Plcd1""),p(RGD:""Plcd3""),p(RGD:""Plcd4""),p(RGD:""Plce1""),p(RGD:""Plcg1""),p(RGD:""Plcg2""),p(RGD:""Plch1""),p(RGD:""Plch2""),p(RGD:""Plcz1""))",Plcb4;Plcb3;Plcz1;Plcg1;Plch2;Plch1;Plce1;Plcg2;Plcd1;Plcb2;Plcd4;Plcb1;Plcd3,,10116.0
26731,Composite,"composite(p(MGI:""Entpd1""),p(MGI:""Entpd3""),p(MGI:""Entpd8""))",Entpd1;Entpd3;Entpd8,,10090.0
26732,Composite,"composite(p(RGD:""Akr1b1""),p(RGD:""Akr1b10""),p(RGD:""Akr1b7""),p(RGD:""Akr1b8""))",Akr1b10;Akr1b1;Akr1b8;Akr1b7,,10116.0
26733,Composite,"composite(p(HGNC:""SLC8A1""),p(HGNC:""SLC8A2""),p(HGNC:""SLC8A3""))",SLC8A3;SLC8A1;SLC8A2,,9606.0
26734,Composite,"composite(p(MGI:""Egfr""),p(MGI:""Erbb2""),p(MGI:""Igf1r""),p(MGI:""Insr""))",Erbb2;Insr;Igf1r;Egfr,,10090.0
26735,Composite,"composite(p(HGNC:""EI24""),p(HGNC:""TP53I3""))",TP53I3;EI24,,9606.0
26736,Composite,"composite(p(MGI:""Ywhab""),p(MGI:""Ywhae""),p(MGI:""Ywhag""),p(MGI:""Ywhah""),p(MGI:""Ywhaq""),p(MGI:""Ywhaz""))",Ywhae;Ywhab;Ywhaq;Ywhah;Ywhag;Ywhaz,,10090.0
26737,Composite,"composite(p(HGNC:""IL1R1""),p(HGNC:""IL1RAP""))",IL1R1;IL1RAP,,9606.0
26738,Composite,"composite(p(HGNC:""ARRB1""),p(HGNC:""ARRB2""))",ARRB1;ARRB2,,9606.0
26739,Composite,"composite(p(MGI:""Chka""),p(MGI:""Chkb""))",Chka;Chkb,,10090.0
26740,Composite,"composite(p(MGI:""Fasn""),p(MGI:""Htd2""))",Fasn;Htd2,,10090.0
26741,Composite,"composite(p(MGI:""F2r""),p(MGI:""F2rl3""))",F2r;F2rl3,,10090.0
